#va	size	idbname	ported	port_syms	attempted	att_syms
0x22a0c0	0xd4	sub_22A0C0	REF	menu:-,menuback:-,menuback:-,menuback:-,menuback:-,menuback:-,menuback:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menutext:-,menutext:-	-	-
0x22a198	0xf4	sub_22A198	REF	menuback:-,menuback:-,menuconfig:-	-	-
0x22a290	0x128	sub_22A290	REF	menuback:-,menuback:-	-	-
0x22a3b8	0x110	sub_22A3B8	REF	menutext:-,menutext:-	-	-
0x22a4c8	0x210	sub_22A4C8	REF	menuback:-,menuback:-,menuback:-,menuconfig:-	-	-
0x22a6d8	0x2e0	sub_22A6D8	-	-	-	-
0x22a9b8	0xd0	sub_22A9B8	REF	menuconfig:-	-	-
0x22aa88	0x104	(ida-missed)	-	-	-	-
0x22ab90	0x7c	sub_22AB90	REF	menu:-,menuback:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menutext:-	-	-
0x22ac10	0x8	sub_22AC10	-	-	Y	timerGetDuration
0x22ac18	0x8	sub_22AC18	-	-	Y	anmTimer,timerGetCount
0x22ac20	0x24	sub_22AC20	DEFN	menu:TimerInterp,menuback:BackTimerInterp,menutext:mtScale	Y	anmScaled,timerScale
0x22ac48	0x10	sub_22AC48	DEFN	menutext:mtIsState	Y	anmIsState,timerIsState
0x22ac58	0x8	sub_22AC58	-	-	Y	anmDirty,timerGetEdge
0x22ac60	0x10	sub_22AC60	-	-	Y	anmReset,timerReset
0x22ac70	0x20	sub_22AC70	DEFN	menu:TimerOpen,menuconfig:cfgOpen,menutext:mtOpen	Y	anmFadeIn,timerOpen
0x22ac90	0x30	sub_22AC90	DEFN	menuconfig:cfgClose,menutext:mtClose	Y	anmFadeOut,timerClose
0x22acc0	0x64	sub_22ACC0	DEFN	menu:TimerStep,menuback:BackTimerStep,menuconfig:cfgStep,menutext:mtStep	Y	anmTick,timerStep
0x22ad28	0x8	sub_22AD28	-	-	Y	getFadeAlpha,getFadeCount
0x22ad30	0x8	sub_22AD30	-	-	Y	getFadeMode,getFadeState
0x22ad38	0x9c	sub_22AD38	-	-	-	-
0x22add8	0xa8	sub_22ADD8	DEFN	menu:FadeArm	-	-
0x22ae80	0x44	sub_22AE80	-	-	Y	transTimerOpen
0x22aec8	0x44	sub_22AEC8	-	-	Y	transTimerClose
0x22af10	0xa4	sub_22AF10	-	-	-	-
0x22afb8	0x68	sub_22AFB8	DEFN	menu:DrawFadeCurtain	Y	drawFadeCurtain
0x22b020	0x38	sub_22B020	-	-	Y	transStep
0x22b058	0x90	sub_22B058	-	-	Y	fadeStep
0x22b0e8	0x14	sub_22B0E8	-	-	Y	uiModelField,getUiModel
0x22b100	0x8	sub_22B100	-	-	Y	modelFreeze
0x22b108	0x10	sub_22B108	-	-	Y	modelInvalidate
0x22b118	0xc	sub_22B118	-	-	Y	modelThaw
0x22b128	0xc	sub_22B128	-	-	Y	modelReload,reloadUiModel
0x22b138	0x138	sub_22B138	-	-	-	-
0x22b270	0x38	sub_22B270	-	-	-	-
0x22b2a8	0x14c	sub_22B2A8	-	-	-	-
0x22b3f8	0xf4	sub_22B3F8	-	-	-	-
0x22b4f0	0x90	(ida-missed)	-	-	-	-
0x22b588	0x8	sub_22B588	-	-	-	-
0x22b590	0x58	sub_22B590	-	-	-	-
0x22b5e8	0x58	sub_22B5E8	-	-	-	-
0x22b640	0x6c	sub_22B640	-	-	-	-
0x22b6b0	0x6c	sub_22B6B0	-	-	-	-
0x22b720	0x6c	sub_22B720	-	-	-	-
0x22b790	0xc	sub_22B790	-	-	-	-
0x22b7a0	0xc	sub_22B7A0	-	-	-	-
0x22b7b0	0xc	sub_22B7B0	-	-	-	-
0x22b7c0	0x78	sub_22B7C0	-	-	-	-
0x22b838	0xac	sub_22B838	-	-	-	-
0x22b8e8	0x64	sub_22B8E8	-	-	-	-
0x22b950	0xc	sub_22B950	-	-	-	-
0x22b960	0x8	sub_22B960	-	-	-	-
0x22b968	0x128	sub_22B968	-	-	-	-
0x22ba90	0xa0	sub_22BA90	-	-	-	-
0x22bb30	0x2e8	sub_22BB30	DEFN	menu:ClockTick	-	-
0x22be18	0x14	sub_22BE18	-	-	Y	clearPadState
0x22be30	0x128	sub_22BE30	-	-	-	-
0x22bf58	0x74	sub_22BF58	REF	menuback:-,menuback:-,menuconfig:-	-	-
0x22bfd0	0x50	sub_22BFD0	REF	menuback:-,menuback:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-,menuconfig:-	-	-
